OBJECTID,SourceOID,ABCDMisc,ADSPermissionState,ContainmentDateTime,ControlDateTime,CreatedBySystem,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedBySystem,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,EstimatedFinalCost,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,IsCpxChild,CpxName,CpxID,SourceGlobalID,GlobalID,IncidentComplexityLevel,x,y
522482,38487081,,DEFAULT,1767305149000,1767627431000,firesponse,20,20,TNTNSC,,20,,,,Moderate,,,,Human,Debris and open burning,Hand pile/slash,,,1767292020000,Type 5 Incident,1768313811000,,,,,,,SACC,,,,,,Sequatchie - Locust Road,,WF,FI,35.5249755,-85.454087,,,{880C5886-41C5-4C50-85A4-1C2B3EA16B97},,0,,,0,,,0,1,260003,firesponse,100,,,Sequatchie,TNTNSC,47153,DVF,TNTNS,,Private,Private,,,,,,,SA25,DVF,TNTNS,US-TN,,SB3,Hardwood Litter,,,2026-TNTNS-260003,No Decision,,,,1767296164780,1770671120770,0,,,{1472A127-A5C7-416E-9C6C-0C885B2DDA3B},6ecf6556-91dd-46bf-8329-913e54312f92,Type 5 Incident,-85.45043333,35.52505
522515,38487115,,DEFAULT,1767314940000,1767819120000,firesponse,106.84,106.84,TXTIC,0,,,,,Moderate,,,,Human,Debris and open burning,Escaped Prescribed Burn,SFFU,,1767295560000,Type 5 Incident,,0,100,0,0,,,SACC,1767654062000,1767448800000,1767481200000,F,Type 5 IC,Rockwall Church 2,"9 Miles SE from Zavalla, TX",WF,FI,31.08261684,-94.33354938,,,{09F32655-BEA4-4545-92FD-0216F34F4884},,0,,,0,,,0,1,260048,firesponse,100,100,,Jasper,TXTIC,48241,SFS,TXTXF,,USFS,Federal,,,,,,,SA12,SFS,TXTXS,US-TX,,,Timber (Grass and Understory),,1,2026-TXTXS-260048,No Decision,,,,1767299214323,1770823690620,0,,,{56791ED6-E3CD-418F-A3E4-2FD2F83F2142},974912cc-1522-4b9d-aade-21d92d8a2594,Type 5 Incident,-94.32148835,31.0580994
522518,42471604,,DEFAULT,1767464580000,1768508820000,wildcade,60,50,TXTIC,,,,,,,,,,Undetermined,,,SFFT,,1767296040000,,1769552340000,,,,,P8,0813,SACC,,,,,,Rockwall Church 2,,WF,FI,31.049638,-94.317155,,,{327A4D99-4E8A-4955-AC7A-D18D06C27707},,0,1,1,0,,,,1,000003,INFORM_Inspector,,,,Jasper,TXTIC,48241,USFS,TXTXF,,USFS,Federal,,,,,,,SA12,USFS,TXTXF,US-TX,,,,,,2026-TXTXF-000003,No Decision,,,,1767300054213,1773757999800,0,,,{327A4D99-4E8A-4955-AC7A-D18D06C27707},6cfdaf75-a662-4904-9d1d-3e519085dc64,Type 4 Incident,-94.323932,31.054571
522522,38487121,,DEFAULT,1767298500000,1767895200000,wildcade,42.2,0.1,ARAOC,,,,,,,,,,Undetermined,,,SFFJ,,1767294120000,,1767981600000,,,,,PA,1542,SACC,,,,,,LEGENDARY,,WF,FI,34.048611,-97.575,,,{B8BAA14D-5824-4F0A-85E4-9AECC28A8185},,0,1,,0,,,,1,000038,wildcade,,,,Jefferson,ARAOC,40067,,,,Private,Private,,,,,,,SA03,BIA,OKCHA,US-OK,,,,,,2026-OKCHA-000038,No Decision,,,,1767301347807,1769026509543,0,,,{F3CA913F-915B-4433-8E06-5B193ED49403},c445e804-525b-487e-8cdb-90735e310850,Type 5 Incident,-97.575,34.048611
522524,38487122,,DEFAULT,1767308700000,1767547920000,firesponse,26.3,26.3,TXTIC,,,,,,Minimal,,,,Human,Debris and open burning,Yard debris,,,1767298740000,Type 5 Incident,,,,,,,,SACC,,,,,,Houston 0054,,WF,FI,31.12536667,-95.484,,,{1EEBCDB3-65E9-4330-B4C5-FF195700CD98},,0,,,0,,,1,1,260054,firesponse,100,,,Houston,TXTIC,48225,SFS,TXTXS,,Private,Private,,,,,,,SA12,SFS,TXTXS,US-TX,,,Tall Grass (2.5 feet),,,2026-TXTXS-260054,No Decision,,,,1767301627323,1768221901353,0,,,{BA08E407-27CE-4CB8-A70C-E6FC79BDF683},dbbd1c41-9bc7-4d8c-aaa0-1a9af0960152,Type 5 Incident,-95.484,31.12536667
522526,38487126,,DEFAULT,1767310140000,1767457080000,firesponse,16,16,TXTIC,,,,,,Moderate,,,,Human,Fireworks,Unknown (remarks required),,,1767299580000,Type 5 Incident,,,,,,,,SACC,,,,,,Nacogdoches 0056,,WF,FI,31.8076663,-94.76680359,,,{2DB1273A-73BC-4623-A339-5922B84C0B5E},,0,,,0,,,0,1,260056,firesponse,100,,,Nacogdoches,TXTIC,48347,SFS,TXTXS,,Private,Private,,,,,,,SA12,SFS,TXTXS,US-TX,,,Timber (Litter and Understory),,,2026-TXTXS-260056,No Decision,,,,1767302002560,1767709838547,0,,,{0491BA33-D21C-4106-8A79-56656D437EDF},ebefa5ac-1971-4e27-a14d-0e49b2134ed4,Type 5 Incident,-94.76083565,31.81924185
522538,38487136,,DEFAULT,1767308040000,1768257000000,wildcade,15,1,MSMIC,,,,,,,,,,Human,,,SFFK,,1767300474000,,1768257000000,,,,,P8,1880,SACC,,,,,,New Year,,WF,FI,32.07325,-89.58675,,,{346F9994-4AA7-4F5F-974B-1586287A62D7},,0,1,,0,,,,1,000002,INFORM_Inspector,,,,Smith,MSMIC,28129,USFS,MSMNF,,USFS,Federal,,,,,,,SA22A,USFS,MSMNF,US-MS,,,,,,2026-MSMNF-000002,No Decision,,,,1767304133810,1772141493007,0,,,{F0A97695-D143-4F6E-86E7-782877AA3DA3},5539eed0-5f0e-4e68-9909-48dc1690009b,Type 5 Incident,-89.58675,32.07325
522543,38487140,,DEFAULT,1767484271000,1767749974000,firesponse,31,31,TXTIC,,,,,,Moderate,,,,Undetermined,Undetermined (remarks required),Under investigation,,,1767295942000,Type 5 Incident,,,,,,,,SACC,,,,,,Esparza,,WF,FI,30.30270709,-96.54471322,,,{21A760B3-696C-4BDD-9E5C-A687956A4600},,0,,,0,,,0,1,260049,firesponse,100,,,Washington,TXTIC,48477,SFS,TXTXS,,DOD,Federal,,,,,,,SA12,SFS,TXTXS,US-TX,,,Brush (2 feet),,,2026-TXTXS-260049,No Decision,,,,1767304526650,1767972334380,0,,,{6AB00F2D-CFA6-4BE9-87B7-97C59BFE7164},680d291d-cefe-49aa-b946-537197a38e37,Type 5 Incident,-96.54471322,30.30270709
522545,38487144,,DEFAULT,1767317156000,1767547440000,firesponse,90,90,TXTIC,,,,,,Active,,,,Human,Fireworks,Aerial fireworks,,,1767298860000,Type 5 Incident,,,,,,,,SACC,,,,,,Winfrey Road,,WF,FI,30.65308333,-95.23403333,,,{215D7DA6-31E8-4BFF-A62B-0AD914AAEDC4},,0,,,0,,,0,1,260057,firesponse,100,,,San Jacinto,TXTIC,48407,SFS,TXTXS,,Private,Private,,,,,,,SA12,SFS,TXTXS,US-TX,,,Timber (Litter and Understory),,,2026-TXTXS-260057,No Decision,,,,1767304982300,1768405870663,0,,,{A2E1CA53-524C-4F33-9962-77763BBB52DF},0e63f2fb-025c-4a9d-9cf0-bd23b0a552ad,Type 5 Incident,-95.23403333,30.65308333
522552,38487151,,DEFAULT,1767385688000,1767667551000,firesponse,25.62,25.62,TXTIC,,,,,,Minimal,,,,Human,Debris and open burning,Yard debris,,,1767300012000,Type 5 Incident,,,,,,,,SACC,,,,,,Stone Acres,,WF,FI,31.40704095,-96.28321255,,,{BDDC70A2-55EE-4662-8DA2-C202E28EF4EF},,0,,,0,,,1,1,260058,firesponse,100,,,Limestone,TXTIC,48293,SFS,TXTXS,,Private,Private,,,,,,,SA11,SFS,TXTXS,US-TX,,,Timber (Litter and Understory),,,2026-TXTXS-260058,No Decision,,,,1767306344710,1768692141503,0,,,{C9C7A98E-3E38-4780-BE1C-427A43B57E38},21afacb8-7b66-4f95-a6b9-9371e9dcc8eb,Type 5 Incident,-96.28527778,31.40555556
